metric,n,mean_norag,mean_rag,mean_delta,t,df,p,significant
llm_judge_hr,60,0.0659,0.07191666666666664,0.006016666666666664,0.6785469868122912,59,0.5000778891039634,no
nli_hr,60,0.3594833333333333,0.34928333333333333,-0.010200000000000006,-0.8361449241935462,59,0.40644706909977923,no
llm_judge_cd,60,0.03568999999999999,0.033345,-0.002344999999999999,-1.8683483048395628,59,0.06668127462376838,no
nli_cd,60,0.03568999999999999,0.033345,-0.002344999999999999,-1.8683483048395628,59,0.06668127462376838,no
llm_judge_ac,60,0.9147166666666665,0.9151833333333331,0.00046666666666666336,0.1833330382772269,59,0.8551652994452201,no
nli_ac,60,0.8654166666666665,0.8631166666666668,-0.0022999999999999982,-0.45341166141800754,59,0.651915618779435,no
